address,city,state,zipcode,latitude,longitude
"205 Summit Blvd, Suite 100",Birmingham,Alabama (AL),35243,33.4476669893822,-86.7288139680069
1100 Mid City Dr NW,Huntsville,Alabama (AL),35806,34.74376500000005,-86.68423499999994
11500 Financial Centre Pky,Little Rock,Arkansas (AR),72211,34.74822324456099,-92.40162468161509
1779 E. Williams Field Rd.,Gilbert,Arizona (AZ),85295,33.30644415845464,-111.75171545322598
7720 West Bell Rd,Glendale,Arizona (AZ),85308,33.63927390130203,-112.22657281543434
2050 E Baseline Rd,Mesa,Arizona (AZ),85204,33.38080593076572,-111.7871959655486
7912 N Oracle,Oro Valley,Arizona (AZ),85704,32.35049061586638,-110.9732288452672
4025 E Chandler Blvd,Phoenix,Arizona (AZ),85048,33.303961941648254,-111.99443139694372
4726 East Shea Blvd,Phoenix,Arizona (AZ),85028,33.58318098987601,-111.97914523630364
4821 N 20th St,Phoenix,Arizona (AZ),85016,33.50718524935989,-112.0378752201972
252 N Lee Blvd,Prescott,Arizona (AZ),86303,34.54869807443987,-112.405307261462
21186 S. Ellsworth Loop Rd,Queen Creek,Arizona (AZ),85142,33.25610243075991,-111.63846746572521
7555 E Frank Lloyd Wright,Scottsdale,Arizona (AZ),85260,33.63597977144457,-111.91713759299235
6202 N Scottsdale Rd,Scottsdale,Arizona (AZ),85253,33.52900724091056,-111.92748932723305
14095 W Grand Ave,Surprise,Arizona (AZ),85374,33.65136270115681,-112.3674118390155
940 E. University Drive,Tempe,Arizona (AZ),85281,33.422393707289544,-111.92488875795384
6460 S McClintock Dr,Tempe,Arizona (AZ),85283,33.361750009172475,-111.91127859462992
1101 N Wilmot Rd,Tucson,Arizona (AZ),85712,32.23707340761882,-110.85875099099184
4209 N Campbell Ave,Tucson,Arizona (AZ),85719,32.28336963443242,-110.94472308221494
4766 E Grant Rd,Tucson,Arizona (AZ),85712,32.24980103422412,-110.89096784167502
28941 Canwood St,Agoura Hills,California (CA),91301,34.14644500899429,-118.75658400298869
2217 South Shore Center,Alameda,California (CA),94501,37.757541019356594,-122.25166202627665
26541 Aliso Creek Rd,Aliso Viejo,California (CA),92656,33.577426017065264,-117.72462696662387
955 Rancho Pkwy,Arroyo Grande,California (CA),93420,35.12627745285234,-120.59516990611428
8200 Stockdale Hwy,Bakersfield,California (CA),93311,35.35576600830805,-119.09375997218012
1885 University Ave,Berkeley,California (CA),94703,37.87162632962154,-122.27338377837017
2500 E Imperial Hwy,Brea,California (CA),92821,33.91024100776308,-117.8664419790108
5451 Lone Tree Way,Brentwood,California (CA),94513,37.96059601845248,-121.75002599216533
214 E Alameda Ave,Burbank,California (CA),91502,34.17493752995929,-118.29924716687071
23741 Calabasas Rd.,Calabasas,California (CA),91302,34.155621013676566,-118.64497099939965
363 Carmen Dr,Camarillo,California (CA),93010,34.21973000011394,-119.0532140243115
1875 Bascom Ave,Campbell,California (CA),95008,37.288148993294755,-121.93348397590847
3555 Clares St #D,Capitola,California (CA),95010,36.97860899706306,-121.9693710105351
2629 Gateway Rd,Carlsbad,California (CA),92009,33.12666298035842,-117.2546560025097
22224 Redwood Road,Castro Valley,California (CA),94546,37.685384986775645,-122.07300603486271
67720 E Palm Canyon Dr,Cathedral City,California (CA),92234,33.78923800950369,-116.48309100255514
12861 Towne Center Dr,Cerritos,California (CA),90703,33.86930601385855,-118.05800501166749
10330 Mason Ave,Chatsworth,California (CA),91311,34.258412986182805,-118.57869503953432
801 East Ave,Chico,California (CA),95926,39.760327003784624,-121.84662097219686
13911 Peyton Drive,Chino Hills,California (CA),91709,34.000537993386644,-117.73210002003802
878 Eastlake Pkwy,Chula Vista,California (CA),91914,32.65145299148348,-116.97049297251296
475 W Foothill Blvd,Claremont,California (CA),91711,34.10714729953691,-117.72168418821393
1077 N Willow Ave,Clovis,California (CA),93611,36.84925401902257,-119.72842804143598
1150 Concord Ave,Concord,California (CA),94520,37.97913599199575,-122.05645102171994
785 Oak Grove Rd,Concord,California (CA),94518,37.93685800765495,-122.0247950041782
2790 Cabot Dr,Corona,California (CA),92883,33.8122529973333,-117.50764899771085
640 W 17th St,Costa Mesa,California (CA),92627,33.63678502088263,-117.92463401235855
6150 Slauson Ave,Culver City,California (CA),90230,33.988015010947365,-118.39291099384097
9290 Culver Blvd,Culver City,California (CA),90232,34.02516901214848,-118.39293102658957
417 Westlake Center,Daly City,California (CA),94015,37.69993500676934,-122.48258496750267
85 Railroad Ave,Danville,California (CA),94526,37.82291898402521,-122.00322702620329
885 Russell Blvd,Davis,California (CA),95616,38.54677201181033,-121.76148899912903
1566 Colorado Blvd,Eagle Rock,California (CA),90041,34.13913301384967,-118.20037498986366
225 El Cerrito Plaza,El Cerrito,California (CA),94530,37.898927004029474,-122.29981899368568
9670 Bruceville Road,Elk Grove,California (CA),95757,38.40665584355904,-121.42023313856694
5700 Christie Ave,Emeryville,California (CA),94608,37.836984991020046,-122.2942460339024
115 N El Camino Real,Encinitas,California (CA),92024,33.04842205584059,-117.25955146528037
17640 Burbank Blvd,Encino,California (CA),91316,34.171841002149435,-118.51776204002917
1885 S Centre City Pkwy,Escondido,California (CA),92025,33.10017101145357,-117.07484900815172
1350 Gateway Blvd,Fairfield,California (CA),94533,38.263925988350024,-122.0528069893144
5309 Sunrise Blvd,Fair Oaks,California (CA),95628,38.662808732438265,-121.27388888098015
850 East Bidwell,Folsom,California (CA),95630,38.672139006048496,-121.15578417720076
39324 Argonaut Way,Fremont,California (CA),94538,37.54341901631254,-121.98611201810935
8478 N. Friant Road,Fresno,California (CA),93720,36.85832998569046,-119.78248201300505
103 E Glenoaks Blvd,Glendale,California (CA),91207,34.15924950062501,-118.25484859772837
5767 Calle Real,Goleta,California (CA),93117,34.4408200049963,-119.82494004062607
11114 Balboa Blvd,Granada Hills,California (CA),91344,34.272980985358814,-118.50043496978489
2052 Redwood Hwy,Greenbrae,California (CA),94904,37.937658018403525,-122.51487398637221
1100 Pacific Coast Hwy,Hermosa Beach,California (CA),90254,33.863793990511354,-118.39189301170032
18681 Main St,Huntington Beach,California (CA),92648,33.69237698786537,-117.99269297066735
21431 Brookhurst St,Huntington Beach,California (CA),92646,33.65136798175581,-117.9548950297548
16821 Algonquin St,Huntington Beach,California (CA),92649,33.7175710190635,-118.05146997703773
4225 Campus Dr,Irvine,California (CA),92612,33.64909341108075,-117.83934878908003
14443 Culver Dr,Irvine,California (CA),92604,33.70625100736797,-117.78833496281334
6222 Irvine Blvd,Irvine,California (CA),92620,33.70027536725766,-117.7409611783837
475 Foothill Blvd,La Canada,California (CA),91011,34.19998701391741,-118.18841099654716
3649 Mt Diablo Blvd,Lafayette,California (CA),94549,37.890228013456905,-122.12693402642708
24231 Avenida De La Carlota,Laguna Hills,California (CA),92653,33.60986398235423,-117.70295496923055
32351 Street of the Golden Lantern,Laguna Niguel,California (CA),92677,33.492840317362905,-117.69640642699399
"2101 W. Imperial Hwy, Suite A",La Habra,California (CA),90631,33.918800984471474,-117.96917997206057
8657 Villa la Jolla Dr,La Jolla,California (CA),92037,32.86630401055622,-117.23180601244411
5495 Grossmont Center Dr,La Mesa,California (CA),91942,32.77917400131895,-117.00565799000006
46400 Washington St,La Quinta,California (CA),92253,33.71198598933964,-116.29424203014665
1122 A East Stanley Blvd,Livermore,California (CA),94550,37.680277013071006,-121.78193698720165
2222 North Bellflower Blvd,Long Beach,California (CA),90815,33.79691700627883,-118.12287096778064
4210 Long Beach Blvd,Long Beach,California (CA),90807,33.83504599045732,-118.1889999928833
6451 E Pacific Coast  Hwy,Long Beach,California (CA),90803,33.7577790085961,-118.10904300683599
2310 Homestead Rd,Los Altos,California (CA),94024,37.33662698759541,-122.06768998041176
1600 N Vine St,Los Angeles,California (CA),90028,34.100600985857,-118.32589499574429
263 S La Brea Ave,Los Angeles,California (CA),90036,34.069154012980476,-118.34437902008386
175 South Fairfax Ave,Los Angeles,California (CA),90036,34.072178999926976,-118.36176199762232
8500 Burton Way,Los Angeles,California (CA),90048,34.070991996708784,-118.37675596511772
11755 Olympic Blvd,Los Angeles,California (CA),90064,34.03373598774603,-118.44956695961281
2738 Hyperion Ave,Los Angeles,California (CA),90027,34.10764698130434,-118.27166399838015
8000 W Sunset Blvd,Los Angeles,California (CA),90046,34.0974719794921,-118.36513998842106
3131 S Hoover Street,Los Angeles,California (CA),90089,34.025725989614486,-118.2850619676919
